,Year,Country_Code,Country_Name,Population_Density,People_Near_Rapid_Transit,Transit_Legend
5727,2002,ESP,Spain,20745.0508981816,0.542421581904709,0.542421581904709
5728,2003,ESP,Spain,20827.3278452734,0.5528913639297369,0.5528913639297369
5729,2004,ESP,Spain,20909.6047923652,0.5633611459547649,0.5633611459547649
5730,2005,ESP,Spain,20991.881739457,0.573830927979793,0.573830927979793
5731,2006,ESP,Spain,21133.66547021604,0.5895780375242702,0.5895780375242702
5732,2007,ESP,Spain,21275.44920097508,0.6053251470687474,0.6053251470687474
5733,2008,ESP,Spain,21417.23293173412,0.6210722566132245,0.6210722566132245
5734,2009,ESP,Spain,21559.01666249316,0.6368193661577017,0.6368193661577017
5735,2010,ESP,Spain,21700.8003932522,0.652566475702179,0.652566475702179
5736,2011,ESP,Spain,21865.15616204388,0.6472212488038601,0.6472212488038601
5737,2012,ESP,Spain,22029.51193083556,0.6418760219055414,0.6418760219055414
5738,2013,ESP,Spain,22193.86769962724,0.6365307950072225,0.6365307950072225
5739,2014,ESP,Spain,22358.22346841892,0.6311855681089038,0.6311855681089038
5740,2015,ESP,Spain,22522.5792372106,0.625840341210585,0.625840341210585
5741,2016,ESP,Spain,22821.37544041354,0.6261710603499028,0.6261710603499028
5742,2017,ESP,Spain,23120.17164361648,0.6265017794892206,0.6265017794892206
5743,2018,ESP,Spain,23418.96784681942,0.6268324986285384,0.6268324986285384
5744,2019,ESP,Spain,23717.76405002236,0.6271632177678562,0.6271632177678562
5745,2020,ESP,Spain,24016.5602532253,0.627493936907174,0.627493936907174
5746,2021,ESP,Spain,24120.51291795825,0.6270805379830268,0.6270805379830268
5747,2022,ESP,Spain,24224.4655826912,0.6266671390588795,0.6266671390588795
5748,2023,ESP,Spain,24328.41824742415,0.6262537401347322,0.6262537401347322
5749,2024,ESP,Spain,24432.3709121571,0.625840341210585,0.625840341210585
5850,1975,SWE,Sweden,10266.5227668337,0.538622412109206,0.538622412109206
5851,1976,SWE,Sweden,10094.515378921966,0.5448295769400976,0.5448295769400976
5852,1977,SWE,Sweden,9922.507991010232,0.5510367417709892,0.5510367417709892
5853,1978,SWE,Sweden,9750.500603098497,0.5572439066018808,0.5572439066018808
5854,1979,SWE,Sweden,9578.493215186763,0.5634510714327724,0.5634510714327724
5855,1980,SWE,Sweden,9406.48582727503,0.569658236263664,0.569658236263664
5856,1981,SWE,Sweden,9347.12906790668,0.5734398550694858,0.5734398550694858
5857,1982,SWE,Sweden,9287.77230853833,0.5772214738753076,0.5772214738753076
5858,1983,SWE,Sweden,9228.41554916998,0.5810030926811294,0.5810030926811294
5859,1984,SWE,Sweden,9169.05878980163,0.5847847114869512,0.5847847114869512
5860,1985,SWE,Sweden,9109.70203043328,0.588566330292773,0.588566330292773
5861,1986,SWE,Sweden,9079.734915781815,0.5865556607110527,0.5865556607110527
5862,1987,SWE,Sweden,9049.767801130352,0.5845449911293322,0.5845449911293322
5863,1988,SWE,Sweden,9019.800686478888,0.5825343215476119,0.5825343215476119
5864,1989,SWE,Sweden,8989.833571827425,0.5805236519658914,0.5805236519658914
5865,1990,SWE,Sweden,8959.86645717596,0.578512982384171,0.578512982384171
5866,1991,SWE,Sweden,9049.77917563279,0.5731026941270104,0.5731026941270104
5867,1992,SWE,Sweden,9139.69189408962,0.5676924058698498,0.5676924058698498
5868,1993,SWE,Sweden,9229.60461254645,0.5622821176126892,0.5622821176126892
5869,1994,SWE,Sweden,9319.51733100328,0.5568718293555286,0.5568718293555286
5870,1995,SWE,Sweden,9409.43004946011,0.551461541098368,0.551461541098368
5871,1996,SWE,Sweden,9470.819012030017,0.5462519790595199,0.5462519790595199
5872,1997,SWE,Sweden,9532.207974599922,0.541042417020672,0.541042417020672
5873,1998,SWE,Sweden,9593.596937169828,0.535832854981824,0.535832854981824
5874,1999,SWE,Sweden,9654.985899739731,0.530623292942976,0.530623292942976
5875,2000,SWE,Sweden,9716.37486230964,0.525413730904128,0.525413730904128
5876,2001,SWE,Sweden,9745.74982542576,0.5219609171324836,0.5219609171324836
5877,2002,SWE,Sweden,9775.12478854188,0.5185081033608392,0.5185081033608392
5878,2003,SWE,Sweden,9804.499751658,0.5150552895891948,0.5150552895891948
5879,2004,SWE,Sweden,9833.87471477412,0.5116024758175504,0.5116024758175504
